inci_name,ingredient_category,primary_function,suitable_oily,suitable_dry,suitable_combination,suitable_normal,suitable_sensitive,suitable_mature,skin_concerns_helps,skin_concerns_worsens,age_group_suitable,pregnancy_safe,irritancy_potential,comedogenicity_0_to_5,ph_optimal_range,concentration_min_percent,concentration_max_percent,avoid_combining_with,usage_notes
Glycerin,Humectant,Moisturizing,yes,yes,yes,yes,yes,yes,dryness|texture|barrier,none,all,yes,low,0,0.5-5,20.0,70.0,none,Universal moisturizer. Safe for all skin types and ages.
Hyaluronic Acid,Humectant,Moisture Retention,yes,yes,yes,yes,yes,yes,dryness|aging|texture|barrier,none,all,yes,low,0,0.01-2,0.01,2.0,none,Use on damp skin to avoid drawing moisture from dermis. Multiple MW versions beneficial.
Sodium Hyaluronate,Humectant,Deep Moisture Retention,yes,yes,yes,yes,yes,yes,dryness|aging|texture|barrier,none,all,yes,low,0,0.01-2,0.01,2.0,none,Smaller MW than HA; penetrates deeper into skin layers.
Propylene Glycol,Humectant/Solvent,Moisturizing/Penetration Enhancer,moderate,yes,moderate,yes,caution,yes,dryness,redness|sensitivity,all,yes,medium,1,1-5,1.0,15.0,none,Can irritate sensitive skin at higher concentrations. Patch test recommended.
Butylene Glycol,Humectant/Solvent,Moisturizing/Texture,yes,yes,yes,yes,yes,yes,dryness|texture,none,all,yes,low,0,1-8,1.0,8.0,none,Gentler than propylene glycol. Good for sensitive skin.
Sorbitol,Humectant,Moisturizing/Smoothing,moderate,yes,yes,yes,yes,yes,dryness|texture,acne (high conc),all,yes,low,1,1-5,1.0,30.0,none,Can be mildly comedogenic at high concentrations in occlusive formulas.
Panthenol,Humectant/Conditioning,Moisturizing/Healing,yes,yes,yes,yes,yes,yes,dryness|redness|sensitivity|barrier,none,all,yes,low,0,0.5-5,0.5,5.0,none,Pro-Vitamin B5. Excellent wound healing and barrier support.
Urea,Humectant/Keratolytic,Moisturizing/Exfoliating,moderate,yes,moderate,yes,caution,yes,dryness|texture|barrier,redness (high conc),adult|mature,yes,medium,2,2-40,2.0,40.0,none,Low % (2-10%) moisturizing; high % (20-40%) keratolytic. Avoid broken skin.
Sodium PCA,Humectant,Natural Moisturizing Factor,yes,yes,yes,yes,yes,yes,dryness|texture,none,all,yes,low,0,0.5-5,0.5,5.0,none,Naturally found in skin. Excellent NMF component.
Betaine,Humectant/Osmoprotectant,Moisturizing/Soothing,yes,yes,yes,yes,yes,yes,dryness|redness|sensitivity,none,all,yes,low,0,0.5-5,0.5,5.0,none,Derived from sugar beet. Excellent for sensitive/rosacea skin.
Trehalose,Humectant,Moisture Retention/Skin Protection,yes,yes,yes,yes,yes,yes,dryness|aging|barrier,none,all,yes,low,0,0.5-5,0.5,5.0,none,Protects skin proteins during environmental stress.
Squalane,Emollient,Moisturizing/Non-comedogenic,yes,yes,yes,yes,yes,yes,dryness|aging|barrier|texture,none,all,yes,low,0,1-100,1.0,100.0,none,Non-comedogenic. Excellent for all skin types including acne-prone.
Jojoba Oil,Emollient,Moisturizing/Balancing,yes,yes,yes,yes,yes,yes,dryness|acne|barrier|texture,none,all,yes,low,1,1-100,1.0,100.0,none,Technically a wax ester. Mimics sebum. Good for oily/acne skin.
Rosehip Oil,Emollient,Anti-aging/Brightening,caution,yes,moderate,yes,moderate,yes,aging|hyperpigmentation|dryness|texture,acne (some),adult|mature,yes,medium,2,1-100,1.0,100.0,none,High in linoleic acid. May not suit acne-prone skin. Check individual tolerance.
Argan Oil,Emollient,Moisturizing/Anti-aging,moderate,yes,yes,yes,yes,yes,dryness|aging|texture,acne (high use),all,yes,low,2,1-100,1.0,100.0,none,Rich in Vitamin E and fatty acids. Moderate comedogenicity.
Sweet Almond Oil,Emollient,Moisturizing/Softening,caution,yes,moderate,yes,yes,yes,dryness|texture|sensitivity,acne,all,yes,low,2,1-100,1.0,100.0,none,Avoid with nut allergies. Comedogenicity rating 2.
Coconut Oil,Emollient,Moisturizing/Antimicrobial,no,yes,caution,caution,moderate,yes,dryness|barrier,acne|pores,all,yes,medium,4,1-100,1.0,100.0,none,"Highly comedogenic (4). Best used on body, not face for acne-prone."
Hemp Seed Oil,Emollient/Anti-inflammatory,Moisturizing/Anti-inflammatory,yes,yes,yes,yes,yes,yes,dryness|redness|acne|barrier,none,all,yes,low,0,1-100,1.0,100.0,none,Comedogenicity 0. High linoleic acid. Excellent for acne and sensitive skin.
Shea Butter,Emollient/Occlusive,Moisturizing/Anti-inflammatory,caution,yes,moderate,yes,yes,yes,dryness|aging|barrier|sensitivity,acne (pure form),all,yes,low,0,1-100,1.0,100.0,none,Unrefined may cause breakouts. Refined shea better for acne-prone.
Dimethicone,Emollient/Occlusive,Smoothing/Barrier,yes,yes,yes,yes,yes,yes,dryness|barrier|texture|sensitivity,none,all,yes,low,1,1-40,1.0,40.0,none,Non-comedogenic silicone. Great primer/base ingredient. Safe for sensitive skin.
Cetyl Alcohol,Emollient/Thickener,Moisturizing/Texture,yes,yes,yes,yes,yes,yes,dryness|texture|barrier,none,all,yes,low,1,1-10,1.0,10.0,none,"Fatty alcohol, not drying alcohol. Non-irritating."
Isopropyl Myristate,Emollient/Solvent,Moisturizing/Penetration enhancer,no,moderate,caution,moderate,caution,yes,dryness,acne|pores,adult|mature,yes,medium,3,1-10,1.0,10.0,none,Comedogenicity 3. Avoid in acne-prone skin. Penetration enhancer.
Mineral Oil,Emollient/Occlusive,Moisturizing/Barrier,caution,yes,caution,yes,yes,yes,dryness|barrier|sensitivity,acne (heavy use),all,yes,low,1,1-60,1.0,60.0,none,Well-refined mineral oil safe; heavy application may increase acne risk.
Petrolatum,Emollient/Occlusive,Barrier/Wound healing,no,yes,caution,yes,yes,yes,dryness|barrier|sensitivity,acne|pores,all,yes,low,2,1-100,1.0,100.0,none,Best occlusives known. Not comedogenic per research but may trap sebum.
Ascorbic Acid,Antioxidant/Brightening Active,Brightening/Collagen synthesis/Antioxidant,yes,moderate,yes,yes,caution,yes,hyperpigmentation|aging|dullness|texture,redness|sensitivity (pH<3.5),adult|mature,consult,medium,1,3-20,3.0,20.0,benzoyl peroxide|niacinamide (debate)|copper peptides,Low pH required (2.5-3.5). Unstable; use fresh. Avoid mixing with niacinamide simultaneously.
Sodium Ascorbyl Phosphate,Antioxidant/Brightening Active,Brightening/Antioxidant,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness|acne|aging,none,all,yes,low,0,0.5-3,0.5,3.0,none,Stable form of Vitamin C. Works at higher pH. Good for sensitive skin.
Ascorbyl Glucoside,Antioxidant/Brightening Active,Brightening/Antioxidant/Stable Vitamin C,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness|aging,none,all,yes,low,0,0.5-5,0.5,5.0,none,Converts to ascorbic acid in skin. Stable and gentle.
3-O-Ethyl Ascorbic Acid,Antioxidant/Brightening Active,Brightening/Antioxidant,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness|aging|texture,none,all,yes,low,0,0.5-3,0.5,3.0,none,Very stable. Oil and water compatible. Effective brightener.
Retinol,Retinoid/Anti-aging Active,Anti-aging/Cell turnover,moderate,moderate,moderate,yes,caution,yes,aging|texture|acne|hyperpigmentation|dullness|pores,redness|sensitivity|dryness (initiation),adult|mature,no,high,1,0.025-1,0.025,1.0,AHAs/BHAs (avoid same time)|benzoyl peroxide|vitamin C (avoid same time),START low and slow. Use PM only. Always SPF. Not for pregnancy. Purging possible. Avoid with other actives until skin adapted.
Retinyl Palmitate,Retinoid/Anti-aging Active,Anti-aging/Milder retinoid,yes,moderate,yes,yes,moderate,yes,aging|texture|dullness,redness (mild),adult|mature,consult,medium,1,0.1-1,0.1,1.0,none,Gentler retinoid. Less effective than retinol but more tolerable.
Retinal,Retinoid/Anti-aging Active,Anti-aging/Cell turnover,moderate,moderate,moderate,yes,caution,yes,aging|texture|acne|hyperpigmentation|dullness|pores,redness|sensitivity|dryness,adult|mature,no,high,1,0.01-0.1,0.01,0.1,AHAs/BHAs|vitamin C|benzoyl peroxide,11x more potent than retinol. Gentler than tretinoin. PM only. Start slow.
Retinyl Retinoate,Retinoid/Anti-aging Active,Anti-aging/Gentle retinoid,moderate,yes,yes,yes,moderate,yes,aging|texture|hyperpigmentation|dullness,redness (mild),adult|mature,consult,medium,1,0.01-1,0.01,1.0,none,Next-gen retinoid. Gentler than retinol with comparable efficacy. Better for sensitive.
Bakuchiol,Plant-based Retinol Alternative,Anti-aging/Antioxidant,yes,yes,yes,yes,yes,yes,aging|texture|hyperpigmentation|dullness|acne,none,all,yes,low,0,0.5-2,0.5,2.0,none,Safe retinol alternative. Can use AM/PM. Pregnancy safe. Can combine with retinoids.
Niacinamide,Brightening/Barrier Active,Brightening/Pore minimizing/Barrier,yes,yes,yes,yes,yes,yes,hyperpigmentation|pores|acne|redness|barrier|dullness|aging,none,all,yes,low,0,2-20,2.0,20.0,"Vitamin C (debate, use separately)",Multitasking ingredient. 5-10% optimal. May cause flushing at very high %%.
Alpha Arbutin,Brightening Active,Brightening/Tyrosinase inhibitor,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness,none,all,consult,low,0,0.5-2,0.5,2.0,none,Effective brightener. More stable than beta arbutin. Pregnancy caution due to hydroquinone parent.
Kojic Acid,Brightening Active,Brightening/Tyrosinase inhibitor,yes,moderate,yes,yes,caution,yes,hyperpigmentation|dullness,redness|sensitivity,adult|mature,consult,medium,0,0.5-2,0.5,2.0,Vitamin C (may cause instability),Can be irritating. Use with caution on sensitive skin. Limit to 2%.
Tranexamic Acid,Brightening Active,Brightening/Anti-inflammatory,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness|redness,none,all,consult,low,0,2-5,2.0,5.0,none,Very well tolerated. Excellent for PIH and melasma.
Azelaic Acid,Brightening/Anti-acne Active,Brightening/Anti-inflammatory/Antimicrobial,yes,yes,yes,yes,yes,yes,acne|hyperpigmentation|redness|pores|dullness,none,all,yes,low,0,5-20,5.0,20.0,none,Safe in pregnancy at OTC %. Excellent for rosacea and PIH.
Glycolic Acid,AHA/Exfoliant,Exfoliating/Brightening/Anti-aging,yes,moderate,yes,yes,caution,yes,texture|dullness|aging|hyperpigmentation|acne|pores,redness|sensitivity|dryness (overuse),adult|mature,no,high,1,4-30,4.0,30.0,retinol (same time)|vitamin C (same time)|BHA (same time at high %),"Smallest AHA molecule, deepest penetration. Start 5-10%. Always SPF. Not in pregnancy."
Lactic Acid,AHA/Exfoliant,Exfoliating/Moisturizing/Brightening,yes,yes,yes,yes,moderate,yes,texture|dullness|aging|hyperpigmentation|dryness,redness|sensitivity (overuse),adult|mature,consult,medium,1,5-15,5.0,15.0,retinol (same time),Gentler than glycolic. Moisturizing properties. Better for dry/sensitive. Some prefer in pregnancy.
Mandelic Acid,AHA/Exfoliant,Exfoliating/Antibacterial/Brightening,yes,moderate,yes,yes,yes,yes,texture|acne|hyperpigmentation|dullness,dryness (overuse),all,consult,low,1,5-15,5.0,15.0,none,"Largest AHA molecule, gentlest. Good for acne-prone and sensitive skin."
Salicylic Acid,BHA/Exfoliant/Anti-acne,Exfoliating/Anti-acne/Anti-inflammatory,yes,caution,yes,yes,caution,moderate,acne|pores|texture|dullness|redness,dryness|sensitivity|barrier (overuse),teen|adult|mature,no,high,1,0.5-2,0.5,2.0,retinol (same time at high %)|vitamin C (low pH),"Oil-soluble, penetrates pores. Best for acne/oily skin. Avoid in pregnancy. Can be drying."
Gluconolactone,PHA/Exfoliant,Gentle exfoliating/Antioxidant/Moisturizing,yes,yes,yes,yes,yes,yes,texture|dullness|aging|barrier|dryness,none,all,yes,low,0,3-10,3.0,10.0,none,Gentlest exfoliant. Antioxidant. Excellent for sensitive skin. Safe in pregnancy.
Zinc Oxide,UV Filter/Mineral Sunscreen,Broad-spectrum UV protection/Soothing,yes,yes,yes,yes,yes,yes,redness|sensitivity|acne (anti-inflammatory),none,all,yes,low,0,1-25,1.0,25.0,none,Best for sensitive skin. Anti-inflammatory. Non-comedogenic. Safe in pregnancy.
Titanium Dioxide,UV Filter/Mineral Sunscreen,UV protection/Whitening,yes,yes,yes,yes,yes,yes,none,none,all,yes,low,0,2-25,2.0,25.0,none,Physical UV filter. Very safe. May leave white cast. Not irritating.
Avobenzone,UV Filter/Chemical Sunscreen,UVA protection,yes,yes,yes,yes,moderate,yes,none,redness (rare),adult|mature,no,medium,0,1-3,1.0,3.0,none,Unstable alone; needs photostabilizer. Avoid in pregnancy.
Octocrylene,UV Filter/Chemical Sunscreen,UVB protection/UV stabilizer,yes,yes,yes,yes,moderate,yes,none,redness (rare),adult|mature,no,medium,0,2-10,2.0,10.0,none,Photostabilizes avobenzone. Can cause contact dermatitis in some.
Tinosorb S,UV Filter/Chemical Sunscreen,Broad-spectrum UVA/UVB,yes,yes,yes,yes,yes,yes,none,none,adult|mature,consult,low,0,2-10,2.0,10.0,none,Photostable. Excellent broad-spectrum. Not approved in US.
Tocopherol,Antioxidant,Antioxidant/Moisturizing/UV protection,moderate,yes,yes,yes,yes,yes,aging|dryness|barrier,acne (high amounts),all,yes,low,2,0.1-1,0.1,1.0,none,Comedogenicity 2. Pure vitamin E. Synergistic with Vitamin C.
Tocopheryl Acetate,Antioxidant,Antioxidant/Stable Vitamin E form,yes,yes,yes,yes,yes,yes,aging|dryness|barrier,none,all,yes,low,1,0.1-1,0.1,1.0,none,Esterified form. More stable but must convert in skin. Less potent than pure tocopherol.
Resveratrol,Antioxidant Active,Antioxidant/Anti-aging/Anti-inflammatory,yes,yes,yes,yes,yes,yes,aging|dullness|redness|hyperpigmentation,none,adult|mature,consult,low,0,0.1-1,0.1,1.0,none,Pairs well with Vitamin C. Photounstable; use PM.
Coenzyme Q10,Antioxidant Active,Antioxidant/Anti-aging/Energy,yes,yes,yes,yes,yes,yes,aging|dullness|texture,none,adult|mature,yes,low,0,0.01-1,0.01,1.0,none,Decreases with age. Good for energy-depleted mature skin.
Ferulic Acid,Antioxidant Active,Antioxidant/UV protection/Anti-aging,yes,yes,yes,yes,yes,yes,aging|dullness|hyperpigmentation,none,adult|mature,yes,low,0,0.1-1,0.1,1.0,none,Dramatically stabilizes Vitamins C and E. Best in combination.
Palmitoyl Pentapeptide-4,Peptide/Anti-aging,Anti-aging/Collagen stimulation,yes,yes,yes,yes,yes,yes,aging|texture|dullness,none,adult|mature,consult,low,0,0.0005-0.1,0.0005,0.1,none,Matrixyl. Effective at very low concentrations. Very well tolerated.
Acetyl Hexapeptide-3,Peptide/Anti-aging,Anti-wrinkle/Muscle relaxing,yes,yes,yes,yes,yes,yes,aging|texture,none,adult|mature,consult,low,0,0.001-10,0.001,10.0,none,Argireline. Topical muscle relaxer. Best at expression lines.
Copper Tripeptide-1,Peptide/Healing Active,Anti-aging/Wound healing/Collagen synthesis,yes,yes,yes,yes,yes,yes,aging|texture|barrier|sensitivity,none (avoid with retinoids same time),adult|mature,consult,low,0,0.0001-2,0.0001,2.0,high-dose vitamin C|retinoids (same time),GHK-Cu. Do not use same session as pure vitamin C or retinoids.
Ceramide NP,Barrier Active,Skin barrier repair/Moisturizing,yes,yes,yes,yes,yes,yes,barrier|dryness|sensitivity|redness|aging,none,all,yes,low,0,0.01-5,0.01,5.0,none,Essential for skin barrier. Works best with cholesterol and fatty acids.
Ceramide AP,Barrier Active,Skin barrier repair,yes,yes,yes,yes,yes,yes,barrier|dryness|sensitivity|redness,none,all,yes,low,0,0.01-5,0.01,5.0,none,Works synergistically with other ceramides.
Phytosphingosine,Barrier Active/Antimicrobial,Skin barrier/Antimicrobial/Anti-inflammatory,yes,yes,yes,yes,yes,yes,acne|barrier|sensitivity|redness,none,all,yes,low,0,0.01-2,0.01,2.0,none,Excellent for acne-prone and compromised barrier skin.
Cholesterol,Barrier Active/Emollient,Skin barrier/Emollient,yes,yes,yes,yes,yes,yes,barrier|dryness|aging|sensitivity,none,all,yes,low,0,0.1-5,0.1,5.0,none,Critical skin barrier lipid. Forms ideal ratio with ceramides and fatty acids.
Allantoin,Soothing Active,Soothing/Healing/Moisturizing,yes,yes,yes,yes,yes,yes,redness|sensitivity|barrier|dryness|texture,none,all,yes,low,0,0.1-2,0.1,2.0,none,Excellent for sensitive and compromised skin. Wound healing.
Bisabolol,Soothing Active,Anti-inflammatory/Soothing/Healing,yes,yes,yes,yes,yes,yes,redness|sensitivity|acne|barrier,none,all,yes,low,0,0.1-0.5,0.1,0.5,none,Derived from chamomile. Excellent for inflamed/sensitive skin.
Centella Asiatica Extract,Soothing/Healing Active,Anti-inflammatory/Wound healing/Barrier,yes,yes,yes,yes,yes,yes,redness|sensitivity|barrier|aging|acne,none,all,yes,low,0,0.1-5,0.1,5.0,none,"Cica. Excellent for compromised barrier, eczema, rosacea, post-procedure."
Aloe Barbadensis Leaf Juice,Soothing Active,Soothing/Anti-inflammatory/Moisturizing,yes,yes,yes,yes,yes,yes,redness|sensitivity|acne|dryness|barrier,none,all,yes,low,0,1-100,1.0,100.0,none,Base of many soothing products. Excellent first-aid ingredient.
Oat Extract,Soothing Active,Anti-inflammatory/Soothing/Barrier,yes,yes,yes,yes,yes,yes,redness|sensitivity|dryness|barrier|texture,none,all,yes,low,0,0.5-10,0.5,10.0,none,Colloidal oat is FDA approved for eczema. Excellent for sensitive skin.
Licorice Root Extract,Brightening/Soothing Active,Brightening/Anti-inflammatory/Soothing,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness|redness|sensitivity,none,all,consult,low,0,0.1-2,0.1,2.0,none,Glabridin is key brightening component. Good for melasma.
Green Tea Extract,Antioxidant/Soothing Active,Antioxidant/Anti-inflammatory/Anti-aging,yes,yes,yes,yes,yes,yes,redness|aging|dullness|acne|pores,none,all,yes,low,0,0.1-5,0.1,5.0,none,EGCG is primary active. Good for acne and anti-aging.
Benzoyl Peroxide,Anti-acne Active,Antimicrobial/Keratolytic,yes,no,moderate,moderate,caution,no,acne,dryness|redness|sensitivity|barrier,teen|adult,no,high,1,2.5-10,2.5,10.0,retinol|AHAs/BHAs (irritation)|Vitamin C,Very effective for P. acnes. Oxidizing agent. Bleaches fabric. Not for sensitive/dry.
Tea Tree Oil,Anti-acne Active,Antimicrobial/Anti-inflammatory,yes,no,yes,yes,caution,no,acne|redness|pores,sensitivity|redness (undiluted),teen|adult,consult,medium,1,0.5-5,0.5,5.0,none,Always dilute. Can cause contact dermatitis. Effective against P. acnes.
Colloidal Sulfur,Anti-acne/Keratolytic,Antimicrobial/Keratolytic/Anti-acne,yes,no,yes,yes,caution,no,acne|pores|texture,dryness|sensitivity,teen|adult|mature,consult,medium,0,3-10,3.0,10.0,none,Gentle antimicrobial. Good for mild-moderate acne. Some odor.
Witch Hazel Extract,Astringent/Soothing Active,Astringent/Soothing/Anti-inflammatory,yes,caution,yes,yes,moderate,moderate,acne|pores|redness,dryness|sensitivity (if alcohol-based),teen|adult|mature,consult,medium,1,5-50,5.0,50.0,none,Use alcohol-free version for sensitive skin. Can be drying.
Adenosine,Anti-aging Active,Anti-wrinkle/Anti-aging/Soothing,yes,yes,yes,yes,yes,yes,aging|texture|dullness|redness,none,adult|mature,yes,low,0,0.04-1,0.04,1.0,none,FDA approved for anti-wrinkle claims. Very well tolerated.
Caffeine,Stimulant Active,Anti-cellulite/Anti-puffiness/Antioxidant,yes,yes,yes,yes,yes,yes,pores|dullness|aging,dryness (as diuretic),adult|mature,yes,low,0,0.5-5,0.5,5.0,none,Good for eye area puffiness and dark circles. Antioxidant.
Melatonin,Antioxidant Active,Antioxidant/Anti-aging/Circadian rhythm,yes,yes,yes,yes,yes,yes,aging|dullness|redness,none,adult|mature,consult,low,0,0.01-5,0.01,5.0,none,Powerful antioxidant. Good in PM routine.
Polyglutamic Acid,Humectant/Film Former,Deep moisturizing/Film forming,yes,yes,yes,yes,yes,yes,dryness|aging|texture|barrier,none,all,yes,low,0,0.1-5,0.1,5.0,none,Holds 5000x its weight in water. More effective than HA.
Phenoxyethanol,Preservative,Antimicrobial preservation,yes,yes,yes,yes,moderate,yes,none,redness|sensitivity (rare),adult|mature,consult,low,0,0.1-1,0.1,1.0,none,Generally safe. Some reports of sensitivity in babies. EU limit 1%.
Caprylyl Glycol,Preservative Booster/Humectant,Antimicrobial/Moisturizing,yes,yes,yes,yes,yes,yes,none,none,all,yes,low,0,0.1-3,0.1,3.0,none,Multi-functional. Gentle. Supports phenoxyethanol.
Aqua,Solvent/Base,Solvent/Carrier/Formulation base,yes,yes,yes,yes,yes,yes,dryness|texture,none,all,yes,low,0,any,1.0,99.0,none,Universal formula base. The principal solvent in cosmetics. No skin concerns at typical use levels.
Erythritol,Humectant,Moisturizing,yes,yes,yes,yes,yes,yes,dryness|texture,none,all,yes,low,0,4-7,0.5,10.0,none,Sugar alcohol humectant. Very gentle and well tolerated. Stabilises formulas against temperature changes.
Inositol,Humectant,Moisturizing/Brightening,yes,yes,yes,yes,yes,yes,dryness|texture|dullness,none,all,yes,low,0,4-7,0.1,5.0,none,Vitamin B8-like compound. Gentle moisturising and skin brightening support.
