inci_name,ingredient_category,primary_function,suitable_oily,suitable_dry,suitable_combination,suitable_normal,suitable_sensitive,suitable_mature,skin_concerns_helps,skin_concerns_worsens,age_group_suitable,pregnancy_safe,irritancy_potential,comedogenicity_0_to_5,ph_optimal_range,concentration_min_percent,concentration_max_percent,avoid_combining_with,usage_notes
Nonapeptide-1,Brightening Peptide,Brightening/MSH inhibition,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness,none,adult|mature,consult,low,0,4-8,0.001,5.0,none,Melanostatine 5. Inhibits alpha-MSH receptor to reduce melanin production. Effective brightening peptide at low concentrations.
Undecylenoyl Phenylalanine,Brightening Active,Brightening/MSH inhibition,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness,none,adult|mature,consult,low,0,4-8,0.1,3.0,none,Sepiwhite MSH. Phenylalanine derivative that competes with alpha-MSH for receptor binding. Inhibits melanin synthesis pathway.
Thiamidol,Brightening Active,Brightening/Tyrosinase inhibitor,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness,none,adult|mature,consult,low,0,4-7,0.1,2.0,none,Isobutylamido Thiazolyl Resorcinol. Eucerin-patented ingredient. One of the most effective topical tyrosinase inhibitors. Excellent clinical data for melasma.
Dioic Acid,Brightening Active,Brightening/Tyrosinase inhibitor,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness|acne,redness (rare),adult|mature,consult,low,0,4-7,0.2,2.0,none,Sym White 377 active (1-12-dodecanedioic acid). Safe dicarboxylic acid brightener. Well tolerated with consistent pigmentation results.
Arbutin,Brightening Active,Brightening/Tyrosinase inhibitor,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness,none,adult|mature,consult,low,0,4-7,0.5,7.0,none,Mixed alpha/beta arbutin. Hydroquinone glucoside. Widely used brightener. Pregnancy caution due to hydroquinone parent. Effective tyrosinase inhibitor.
Ellagic Acid,Brightening/Antioxidant Active,Brightening/Antioxidant/Anti-aging,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness|aging|redness,none,adult|mature,yes,low,0,4-7,0.1,1.0,none,Pomegranate-derived polyphenol. Tyrosinase inhibitor and antioxidant. Clinically effective brightener.
Zinc Pyrithione,Antimicrobial Active,Antidandruff/Antimicrobial/Sebum control,yes,moderate,yes,yes,moderate,moderate,acne|redness|pores,dryness|sensitivity,teen|adult|mature,yes,medium,0,4-8,0.1,2.0,none,Broad antimicrobial; effective against Malassezia yeast linked to dandruff and pityrosporum folliculitis. Useful for fungal acne treatment.
Piroctone Olamine,Antimicrobial Active,Antidandruff/Antimicrobial/Sebum regulation,yes,moderate,yes,yes,moderate,moderate,acne|redness|pores,sensitivity (rare),teen|adult|mature,yes,medium,0,4-8,0.1,1.0,none,Octopirox. Antifungal and antibacterial. Effective for seborrheic dermatitis and Malassezia-associated skin conditions.
Resorcinol,Brightening/Anti-acne Active,Brightening/Keratolytic/Anti-acne,yes,no,yes,yes,caution,moderate,acne|hyperpigmentation|texture,dryness|redness|sensitivity,adult|mature,no,high,0,4-7,0.5,2.0,none,Potent keratolytic and tyrosinase inhibitor. Irritating at higher percentages. Not for sensitive or dry skin. Avoid in pregnancy.
Polyhydroxystearic Acid,Emulsifier/Dispersant,W/O emulsification/Pigment dispersing,yes,yes,yes,yes,yes,yes,texture,none,all,yes,low,0,4-8,0.1,5.0,none,PHSA. Used in anhydrous and W/O emulsions. Excellent for dispersing mineral pigments in sunscreen formulas.
Isostearic Acid,Emollient/Emulsifier,Moisturizing/Emulsification/Texture,yes,yes,yes,yes,yes,yes,dryness|texture|barrier,none,all,yes,low,0,4-8,1.0,15.0,none,Branched C18 fatty acid. Non-crystallising at room temperature. Excellent for lip products and anhydrous formulas.
Cyclohexasiloxane,Emollient/Solvent,Lightweight carrier/Smoothing,yes,yes,yes,yes,yes,yes,texture|barrier,none,all,yes,low,0,4-8,1.0,50.0,none,D6 cyclic silicone. Larger ring size than D5. Similar function to cyclomethicone. Environmental bioaccumulation concerns parallel those of other cyclic silicones.
Sodium Cocoyl Isethionate,Mild Surfactant,Gentle cleansing/Conditioning/Foaming,yes,moderate,yes,yes,yes,yes,acne (cleansing)|texture,dryness (occasional),all,yes,low,0,4-7,5.0,30.0,none,Coconut fatty acid isethionate salt. Exceptionally mild. Used in solid bars and cream cleansers. Leaves skin feeling conditioned.
Lauryl Glucoside,Mild Surfactant,Gentle Cleansing/Foaming,yes,moderate,yes,yes,moderate,yes,texture (cleansing),dryness (mild),all,yes,low,0,4-7,2.0,30.0,none,C12-alkyl glucoside. Sugar-based mild surfactant from natural origin. Gentle enough for sensitive skin. Used in rinse-off formulas.
Decyl Glucoside,Mild Surfactant,Gentle Cleansing/Foaming,yes,moderate,yes,yes,yes,yes,texture (cleansing),dryness (mild),all,yes,low,0,4-7,2.0,30.0,none,C10-alkyl glucoside. Gentlest of the alkyl glucoside surfactants. Suitable for baby and hypoallergenic formulas. Rinse-off use.
Isocetyl Stearate,Emollient,Moisturizing/Lightweight texture,yes,yes,yes,yes,yes,yes,dryness|texture,none,all,yes,low,0,4-8,1.0,15.0,none,Ester emollient. Non-greasy. Good for lightweight moisturisers and make-up formulas.
Hydrogenated Lecithin,Emulsifier/Barrier,Emulsification/Barrier support,yes,yes,yes,yes,yes,yes,dryness|barrier|texture,none,all,yes,low,0,4-8,0.1,3.0,none,Hydrogenated phospholipid. More oxidatively stable than regular lecithin. Supports liposomal delivery and barrier reinforcement.
Tremella Fuciformis Extract,Humectant/Antioxidant,Deep moisturizing/Antioxidant/Anti-aging,yes,yes,yes,yes,yes,yes,dryness|aging|texture|barrier,none,all,yes,low,0,4-7,0.1,5.0,none,Snow mushroom polysaccharide. Holds up to 500x its weight in water. Comparable to hyaluronic acid in moisturising efficacy. Very gentle.
Reishi Mushroom Extract,Antioxidant/Adaptogen,Antioxidant/Anti-aging/Immune support,yes,yes,yes,yes,yes,yes,aging|dullness|redness|barrier,none,adult|mature,yes,low,0,4-7,0.1,5.0,none,Ganoderma lucidum. Beta-glucans and triterpenes. Adaptogenic anti-inflammatory. Anti-aging for stressed mature skin.
Chaga Mushroom Extract,Antioxidant Active,Antioxidant/Anti-inflammatory/Anti-aging,yes,yes,yes,yes,yes,yes,aging|dullness|redness,none,adult|mature,yes,low,0,4-7,0.1,5.0,none,Inonotus obliquus. One of the highest ORAC-value botanicals. Contains melanin-like compounds and betulinic acid. Powerful antioxidant.
Laminaria Extract,Antioxidant/Moisturizing,Antioxidant/Detox/Moisturizing,yes,yes,yes,yes,yes,yes,aging|dullness|dryness|texture,none,all,yes,low,0,4-7,0.1,5.0,none,Brown seaweed Laminaria digitata. Rich in fucoidans and iodine. Anti-aging and detoxifying properties.
Fucus Vesiculosus Extract,Antioxidant/Slimming Active,Antioxidant/Anti-cellulite/Detox,yes,yes,yes,yes,moderate,yes,aging|dullness|texture,redness (iodine sensitivity),adult|mature,consult,medium,0,4-7,0.1,5.0,none,Bladderwrack seaweed. High iodine and fucoidan content. Antioxidant and slimming properties. Avoid if iodine-sensitive or with thyroid conditions.
Isosorbide Dimethyl Ether,Penetration Enhancer/Solvent,Penetration enhancement/Active delivery,yes,yes,yes,yes,moderate,yes,none,redness|sensitivity (high %),adult|mature,yes,medium,0,4-8,1.0,20.0,none,DMI. Significantly enhances penetration of other actives (e.g. Vitamin C/AHAs). Use judiciously with potent actives on sensitive skin.
Methylsulfonylmethane,Anti-inflammatory Active,Anti-inflammatory/Soothing/Collagen support,yes,yes,yes,yes,yes,yes,redness|sensitivity|aging|barrier,none,all,yes,low,0,4-8,0.1,5.0,none,MSM. Bioavailable organic sulfur compound. Anti-inflammatory. May support keratin and collagen integrity. Well tolerated.
Zinc Gluconate,Antimicrobial/Sebum control,Anti-acne/Sebum control/Zinc delivery,yes,moderate,yes,yes,moderate,moderate,acne|pores|redness,dryness (high %),teen|adult|mature,yes,low,0,4-8,0.5,2.0,none,Bioavailable zinc salt. Anti-inflammatory and sebostatic. Reduces P. acnes and sebum production. Good for oily/acne skin.
Niacinamide Methylether,Anti-aging/Brightening Active,Anti-aging/Brightening/Antioxidant,yes,yes,yes,yes,yes,yes,hyperpigmentation|aging|dullness|redness,none,adult|mature,yes,low,0,4-8,0.01,2.0,none,1-Methylnicotinamide (MNA). More stable niacinamide derivative. Sirtuin-activating anti-aging properties. Less risk of niacin flush.
Isoflavones,Phytoestrogen/Anti-aging,Anti-aging/Brightening/Antioxidant,yes,yes,yes,yes,yes,yes,aging|dullness|hyperpigmentation|texture,none,adult|mature,consult,low,0,4-8,0.01,1.0,none,Genistein/daidzein from soy. Mild phytoestrogenic effect. Anti-aging and brightening relevant for perimenopausal skin. Pregnancy consult.
Retinaldehyde,Retinoid/Anti-aging Active,Anti-aging/Stronger than retinol,moderate,moderate,moderate,yes,caution,yes,aging|texture|acne|hyperpigmentation|pores,redness|sensitivity|dryness,adult|mature,no,high,1,0.01-0.1,0.01,0.1,AHAs/BHAs (same time)|vitamin C (same time)|benzoyl peroxide,Retinal. 11x more potent than retinol. Converts directly to retinoic acid. PM use only. Always SPF. Not in pregnancy. Start slow.
Hydroxypinacolone Retinoate,Retinoid/Anti-aging Active,Anti-aging/Gentle non-irritating retinoid,yes,moderate,yes,yes,moderate,yes,aging|texture|dullness|hyperpigmentation,redness (mild),adult|mature,consult,medium,1,4-8,0.01,1.0,none,Granactive Retinoid. HPR. Direct retinoic acid receptor agonist ester. No enzymatic conversion required. Gentler than retinol. Works at neutral pH.
Rosemary Extract,Antioxidant/Preservative Booster,Antioxidant/Natural preservative/Soothing,yes,yes,yes,yes,moderate,yes,aging|dullness|redness,redness|sensitivity (fragrance components),all,yes,medium,0,4-7,0.1,0.5,none,Carnosic acid and rosmarinal primary antioxidants. Also used as natural preservative booster. Can be irritating to sensitive skin at higher concentrations.
Hydrolyzed Hyaluronic Acid,Humectant/Penetration,Deeper moisture penetration/Anti-aging,yes,yes,yes,yes,yes,yes,dryness|aging|texture|barrier,none,all,yes,low,0,4-7,0.01,2.0,none,Low MW HA fragments. Penetrates deeper into epidermis than high MW HA. Effective anti-aging ingredient. Complement with HMW HA for full-depth hydration.
Palmitoyl Hexapeptide-12,Peptide/Anti-aging,Anti-aging/Elastin stimulation,yes,yes,yes,yes,yes,yes,aging|texture|dullness,none,adult|mature,consult,low,0,4-8,0.0001,0.1,none,Biopeptide CL. Palmitoyl-VGVAPG. Stimulates elastin and fibronectin synthesis. Complements collagen-stimulating peptides.
Hydrolyzed Elastin,Protein/Firming,Skin elasticity/Moisturizing/Firming,yes,yes,yes,yes,yes,yes,aging|texture|dullness|barrier,none,adult|mature,yes,low,0,4-8,0.1,5.0,none,Elastin peptides. Surface film-forming and moisturising. Supports skin elasticity appearance. Well tolerated.
Castor Oil,Emollient/Occlusive,Moisturizing/Film forming/Thickening,moderate,yes,moderate,yes,yes,yes,dryness|barrier|texture,acne (high %),all,yes,low,1,4-8,1.0,100.0,none,Ricinoleic acid-rich vegetable oil. Non-comedogenic despite thick viscosity. Common in lip products. Comedogenicity 1.
Linseed Oil,Emollient/Anti-inflammatory,Moisturizing/Anti-inflammatory/Omega-3 source,moderate,yes,moderate,yes,moderate,yes,dryness|redness|barrier|aging,acne (high %),adult|mature,yes,medium,4,4-7,1.0,30.0,none,Flaxseed oil. Very high ALA omega-3. Oxidises rapidly - use with antioxidant. Comedogenicity 4. Best for dry/mature skin.
Evening Primrose Oil,Emollient/Anti-inflammatory,Moisturizing/Anti-inflammatory/Barrier repair,yes,yes,yes,yes,yes,yes,dryness|redness|barrier|aging|eczema,none,adult|mature,yes,low,1,4-7,1.0,30.0,none,High GLA gamma-linolenic acid content. Clinically beneficial for atopic dermatitis. Excellent for dry/sensitive/eczema and hormonal skin concerns.
Tamanu Oil,Emollient/Healing,Wound healing/Anti-inflammatory/Antimicrobial,yes,yes,yes,yes,moderate,yes,acne|redness|barrier|aging|texture,redness|sensitivity (rare),adult|mature,consult,medium,2,4-7,1.0,30.0,none,Calophyllum inophyllum. Contains calophyllolide and xanthones. Excellent for post-acne scars and keloids. Start low if sensitive.
Safflower Oil,Emollient,Moisturizing/Linoleic acid source/Lightweight,yes,yes,yes,yes,yes,yes,dryness|acne|barrier|texture,none,all,yes,low,0,4-7,1.0,100.0,none,High-linoleic safflower oil is very lightweight and non-comedogenic. Comedogenicity 0. Good for acne-prone and oily skin.
Raspberry Seed Oil,Emollient/UV protection,Moisturizing/Antioxidant/Natural SPF,yes,yes,yes,yes,yes,yes,dryness|aging|redness|texture,none,all,yes,low,1,4-7,1.0,30.0,none,High Vitamin E and omega-3/6. Claimed natural SPF is disputed - not a replacement for sunscreen. Excellent antioxidant emollient.
Pomegranate Seed Oil,Emollient/Antioxidant,Moisturizing/Anti-aging/Antioxidant,yes,yes,yes,yes,yes,yes,aging|dullness|dryness|redness,none,adult|mature,yes,low,0,4-7,1.0,30.0,none,Unique punicic acid omega-5 conjugated linolenic acid. Promotes keratinocyte proliferation. Anti-inflammatory and antioxidant.
Moringa Oil,Emollient,Moisturizing/Antioxidant/Anti-pollution,yes,yes,yes,yes,yes,yes,dryness|aging|dullness|barrier,none,all,yes,low,1,4-7,1.0,100.0,none,Behenic acid-rich Moringa oleifera oil. Exceptional oxidative stability. Excellent for urban/anti-pollution skincare formulas.
Sodium Cocoamphoacetate,Amphoteric Surfactant,Gentle cleansing/Conditioning/Viscosity,yes,moderate,yes,yes,yes,yes,texture (cleansing),dryness (mild),all,yes,low,0,4.5-7,1.0,20.0,none,Amphoteric coconut-derived surfactant. Builds viscosity and conditioning. Excellent for baby and sensitive skin cleansers.
Disodium Cocoamphodiacetate,Amphoteric Surfactant,Gentle cleansing/Antistatic,yes,moderate,yes,yes,yes,yes,texture (cleansing),dryness (mild),all,yes,low,0,4.5-7,1.0,20.0,none,Miranol-type amphoteric. Anti-static properties. Gentle cleansing. Good for sensitive skin and low-irritation formulas.
Hydroxyacetophenone,Preservative Booster/Antioxidant,Antimicrobial/Antioxidant/Preservative boost,yes,yes,yes,yes,yes,yes,none,redness (very rare),all,yes,low,0,4-8,0.1,1.0,none,Symsave H. Natural-origin preservative booster from 4-hydroxyacetophenone. Very mild. Effective against gram-positive bacteria and fungi.
Pentylene Glycol,Humectant/Antimicrobial,Moisturizing/Antimicrobial,yes,yes,yes,yes,yes,yes,dryness|barrier|texture,none,all,yes,low,0,4-8,0.5,5.0,none,1
Ceteareth-20,Emulsifier/Surfactant,O/W emulsification/Solubilization,yes,yes,yes,yes,moderate,yes,texture,redness (rare),all,consult,low,0,4-8,1.0,10.0,none,PEG-20 Cetearyl Ether. Efficient O/W emulsifier. May contain trace 1
Behentrimonium Methosulfate,Emulsifier/Conditioning Agent,O/W emulsification/Hair and skin conditioning/Antistatic,yes,yes,yes,yes,yes,yes,texture|barrier,none,all,yes,low,0,4-8,0.5,25.0,none,BTMS. Cationic emulsifier. Produces light stable emulsions. Excellent skin and hair conditioning and anti-static properties.
Polyglyceryl-3 Diisostearate,Emulsifier,W/O emulsification/Skin feel improvement,yes,yes,yes,yes,yes,yes,texture|barrier,none,all,yes,low,0,4-8,1.0,10.0,none,W/O emulsifier. Used in anhydrous and water-in-oil formulas. Very gentle. Good for sensitive skin anhydrous formulas.
Sodium Lauroyl Lactylate,Emulsifier/Mild Surfactant,Emulsification/Gentle cleansing/Skin conditioning,yes,yes,yes,yes,yes,yes,texture|dryness|barrier,none,all,yes,low,0,4-7,0.5,10.0,none,Naturally-derived coconut/corn emulsifier. Skin conditioning. Suitable for natural and sensitive skin formulations. Biodegradable.
Potassium Phosphate,pH Adjuster/Buffer,pH Buffering/Electrolyte balance/Stabilizer,yes,yes,yes,yes,yes,yes,none,redness (very high conc),all,yes,low,0,5-8,0.001,1.0,none,Monopotassium phosphate KH2PO4. Maintains product pH and formula stability. Common buffer component in pharmaceutical/cosmetic systems.
Dipotassium Phosphate,pH Adjuster/Buffer,pH Buffering/Electrolyte balance/Stabilizer,yes,yes,yes,yes,yes,yes,none,redness (very high conc),all,yes,low,0,5-8,0.001,1.0,none,Dipotassium hydrogen phosphate K2HPO4. Dibasic phosphate buffer. Paired with Potassium Phosphate to create complete phosphate buffer system.
Alpha-Arbutin,Brightening Active,Tyrosinase Inhibition,yes,yes,yes,yes,moderate,yes,hyperpigmentation|dullness|texture,none,adult|mature,consult,low,0,4-6,1.0,2.0,none,Use daily with sunscreen; effective for dark spots and uneven tone.
Jojoba Esters,Emollient,Barrier Support,yes,yes,yes,yes,yes,yes,dryness|barrier|texture,none,all,yes,low,1,4-8,1.0,10.0,none,Lightweight wax esters that soften skin without heavy occlusion.
Avena Sativa (Oat) Kernel Extract,Botanical Soothing,Anti-Inflammatory,yes,yes,yes,yes,yes,yes,redness|sensitivity|barrier|dryness,none,all,yes,low,0,4-7,0.2,5.0,none,Calming oat extract helps reduce irritation and supports compromised barrier.
Colloidal Oatmeal,Soothing Protectant,Barrier Protection,yes,yes,yes,yes,yes,yes,sensitivity|redness|barrier|dryness,none,all,yes,low,0,4-7,0.5,5.0,none,Dermatology-supported soothing protectant for eczema-prone and reactive skin.
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical Brightening,Anti-Inflammatory Brightening,yes,yes,yes,yes,moderate,yes,hyperpigmentation|redness|dullness,none,adult|mature,consult,low,0,4-7,0.1,3.0,none,Licorice flavonoids can reduce visible discoloration and post-inflammatory marks.
Potassium Azeloyl Diglycinate,Sebum Regulating Active,Brightening Sebum Control,yes,moderate,yes,yes,moderate,yes,acne|pores|hyperpigmentation|redness,none,adult|mature,consult,low,0,5-7,3.0,10.0,none,Azelaic derivative with better tolerance for oily and sensitive-acne skin.
N-Acetyl Glucosamine,Barrier Brightening Active,Barrier and Pigment Modulation,yes,yes,yes,yes,yes,yes,hyperpigmentation|barrier|dryness|texture,none,all,yes,low,0,4-7,1.0,5.0,none,Often paired with niacinamide to support tone-evening and barrier recovery.
Acetyl Hexapeptide-8,Peptide,Expression Line Softening,yes,yes,yes,yes,yes,yes,aging|texture,none,adult|mature,yes,low,0,4-7,0.01,0.1,strong acids,Peptide signal ingredient; avoid layering with low-pH acid peels in same routine.
Lactobacillus Ferment,Postbiotic/Ferment,Microbiome Support,yes,yes,yes,yes,yes,yes,barrier|redness|sensitivity,none,all,yes,low,0,4-6,0.1,5.0,none,Supports skin barrier and can reduce irritation in minimalist routines.
Hydroxyethyl Urea,Humectant,Hydration,yes,yes,yes,yes,yes,yes,dryness|barrier|texture,none,all,yes,low,0,4-8,1.0,10.0,none,Long-lasting humectant hydration with low tack and good tolerance.
Succinic Acid,Acid Active,Anti-Blemish,yes,moderate,yes,moderate,caution,moderate,acne|pores|texture,sensitivity (high concentration),adult,consult,medium,0,3.5-5.5,0.5,2.0,retinol|strong acids,Use alternate nights when combined with other exfoliating actives.
Capryloyl Salicylic Acid,LHA Exfoliant,Comedolytic Exfoliation,yes,caution,yes,moderate,caution,moderate,acne|pores|texture,sensitivity|dryness,adult,consult,medium,0,3-4.5,0.1,1.0,retinol|benzoyl peroxide|strong acids,LHA can be potent; introduce slowly and avoid same-night stacking with retinoids.
Dipotassium Glycyrrhizate,Soothing Active,Anti-Inflammatory,yes,yes,yes,yes,yes,yes,redness|sensitivity|barrier|acne,none,all,yes,low,0,4-7,0.1,1.0,none,Licorice-derived soothing salt useful in anti-redness formulations.
Tetrahexyldecyl Ascorbate,Vitamin C Derivative,Antioxidant Brightening,yes,yes,yes,yes,moderate,yes,hyperpigmentation|dullness|aging,none,adult|mature,consult,low,1,5-7,1.0,20.0,none,Oil-soluble vitamin C derivative with improved stability and tolerability.
Acetyl Tetrapeptide-5,Peptide,Periorbital Puffiness Support,yes,yes,yes,yes,yes,yes,aging|texture|dullness,none,adult|mature,yes,low,0,4-7,0.01,0.1,strong acids,Eye-area peptide active; pair with moisturizers and sunscreen.
Oligopeptide-1,Growth Factor Peptide,Repair Signaling,yes,yes,yes,yes,moderate,yes,aging|barrier|texture,none,adult|mature,consult,low,0,5-7,0.001,0.05,strong acids,Use in peptide-focused routines and separate from low-pH peel products.
Tripeptide-1,Peptide,Collagen Support,yes,yes,yes,yes,yes,yes,aging|texture,none,adult|mature,yes,low,0,4-7,0.005,0.1,strong acids,Signal peptide often paired with tetrapeptides in anti-aging serums.
Carnosine,Anti-Glycation Active,Antioxidant and Firmness Support,yes,yes,yes,yes,yes,yes,aging|dullness|texture,none,adult|mature,yes,low,0,5-7,0.1,1.0,none,Helps defend against glycation-related signs of aging.
Glyceryl Glucoside,Humectant,Aquaporin Hydration Support,yes,yes,yes,yes,yes,yes,dryness|barrier|dullness,none,all,yes,low,0,4-8,0.5,5.0,none,Hydration-supportive humectant that layers well with HA and glycerin.
Xylitylglucoside,Humectant Sugar Complex,Barrier Hydration,yes,yes,yes,yes,yes,yes,dryness|barrier|texture,none,all,yes,low,0,4-8,1.0,5.0,none,Part of a sugar humectant trio to increase hydration reservoirs in the stratum corneum.
Anhydroxylitol,Humectant Sugar Complex,Moisture Reservoir Support,yes,yes,yes,yes,yes,yes,dryness|barrier|dullness,none,all,yes,low,0,4-8,0.5,5.0,none,Humectant sugar derivative frequently combined with xylitol derivatives.
